Sample 0: True Label: grab_F, Predicted: grab_F 
 Sample 452: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 453: True Label: swipe_left_H, Predicted: swipe_left_H 
 Sample 454: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 455: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 456: True Label: swipe_up_F, Predicted: swipe_plus_F 
 Sample 457: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 458: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 459: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 460: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 461: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 462: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 463: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 464: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 465: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 466: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 467: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 468: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 469: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 470: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 471: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 472: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 473: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 474: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 475: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 476: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 477: True Label: swipe_up_F, Predicted: expand_F 
 Sample 478: True Label: swipe_up_F, Predicted: expand_F 
 Sample 479: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 480: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 481: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 482: True Label: swipe_up_F, Predicted: expand_F 
 Sample 483: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 484: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 485: True Label: swipe_up_F, Predicted: swipe_up_F 
 Sample 486: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 487: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 488: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 489: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 490: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 491: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 492: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 493: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 494: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 495: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 496: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 497: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 498: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 499: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 500: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 501: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 502: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 503: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 504: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 505: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 506: True Label: swipe_up_H, Predicted: swipe_down_H 
 Sample 507: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 508: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 509: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 510: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 511: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 512: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 513: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 514: True Label: swipe_up_H, Predicted: pinch_H 
 Sample 515: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 516: True Label: swipe_up_H, Predicted: pinch_H 
 Sample 517: True Label: swipe_up_H, Predicted: expand_H 
 Sample 518: True Label: swipe_up_H, Predicted: expand_H 
 Sample 519: True Label: swipe_up_H, Predicted: pinch_H 
 Sample 520: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 521: True Label: swipe_up_H, Predicted: swipe_up_H 
 Sample 522: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 523: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 524: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 525: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 526: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 527: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 528: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 529: True Label: swipe_down_F, Predicted: swipe_plus_F 
 Sample 530: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 531: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 532: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 533: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 534: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 535: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 536: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 537: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 538: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 539: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 540: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 541: True Label: swipe_down_F, Predicted: tap_F 
 Sample 542: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 543: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 544: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 545: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 546: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 547: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 548: True Label: swipe_down_F, Predicted: grab_F 
 Sample 549: True Label: swipe_down_F, Predicted: rotation_cw_F 
 Sample 550: True Label: swipe_down_F, Predicted: rotation_cw_F 
 Sample 551: True Label: swipe_down_F, Predicted: rotation_cw_F 
 Sample 552: True Label: swipe_down_F, Predicted: swipe_down_F 
 Sample 553: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 554: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 555: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 556: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 557: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 558: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 559: True Label: swipe_down_H, Predicted: expand_H 
 Sample 560: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 561: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 562: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 563: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 564: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 565: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 566: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 567: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 568: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 569: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 570: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 571: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 572: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 573: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 574: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 575: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 576: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 577: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 578: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 579: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 580: True Label: swipe_down_H, Predicted: swipe_down_H 
 Sample 581: True Label: swipe_down_H, Predicted: rotation_cw_H 
 Sample 582: True Label: swipe_down_H, Predicted: rotation_cw_H 
 Sample 583: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 584: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 585: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 586: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 587: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 588: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 589: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 590: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 591: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 592: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 593: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 594: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 595: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 596: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 597: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 598: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 599: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 600: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 601: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 602: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 603: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 604: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 605: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 606: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 607: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 608: True Label: swipe_x_F, Predicted: rotation_cw_F 
 Sample 609: True Label: swipe_x_F, Predicted: swipe_y_F 
 Sample 610: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 611: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 612: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 613: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 614: True Label: swipe_x_F, Predicted: swipe_x_F 
 Sample 615: True Label: swipe_x_F, Predicted: grab_F 
 Sample 616: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 617: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 618: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 619: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 620: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 621: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 622: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 623: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 624: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 625: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 626: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 627: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 628: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 629: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 630: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 631: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 632: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 633: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 634: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 635: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 636: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 637: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 638: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 639: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 640: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 641: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 642: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 643: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 644: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 645: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 646: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 647: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 648: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 649: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 650: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 651: True Label: swipe_x_H, Predicted: swipe_x_H 
 Sample 652: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 653: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 654: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 655: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 656: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 657: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 658: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 659: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 660: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 661: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 662: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 663: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 664: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 665: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 666: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 667: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 668: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 669: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 670: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 671: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 672: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 673: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 674: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 675: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 676: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 677: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 678: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 679: True Label: swipe_y_F, Predicted: swipe_y_F 
 Sample 680: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 681: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 682: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 683: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 684: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 685: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 686: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 687: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 688: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 689: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 690: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 691: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 692: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 693: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 694: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 695: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 696: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 697: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 698: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 699: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 700: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 701: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 702: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 703: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 704: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 705: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 706: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 707: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 708: True Label: swipe_y_H, Predicted: swipe_y_H 
 Sample 709: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 710: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 711: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 712: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 713: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 714: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 715: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 716: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 717: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 718: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 719: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 720: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 721: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 722: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 723: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 724: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 725: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 726: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 727: True Label: swipe_plus_F, Predicted: swipe_x_F 
 Sample 728: True Label: swipe_plus_F, Predicted: swipe_y_F 
 Sample 729: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 730: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 731: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 732: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 733: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 734: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 735: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 736: True Label: swipe_plus_F, Predicted: swipe_plus_F 
 Sample 737: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 738: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 739: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 740: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 741: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 742: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 743: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 744: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 745: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 746: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 747: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 748: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 749: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 750: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 751: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 752: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 753: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 754: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 755: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 756: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 757: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 758: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 759: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 760: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 761: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 762: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 763: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 764: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 765: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 766: True Label: swipe_plus_H, Predicted: swipe_plus_H 
 Sample 767: True Label: shake_F, Predicted: shake_F 
 Sample 768: True Label: shake_F, Predicted: shake_F 
 Sample 769: True Label: shake_F, Predicted: shake_F 
 Sample 770: True Label: shake_F, Predicted: shake_F 
 Sample 771: True Label: shake_F, Predicted: shake_F 
 Sample 772: True Label: shake_F, Predicted: shake_F 
 Sample 773: True Label: shake_F, Predicted: shake_F 
 Sample 774: True Label: shake_F, Predicted: shake_F 
 Sample 775: True Label: shake_F, Predicted: shake_F 
 Sample 776: True Label: shake_F, Predicted: shake_F 
 Sample 777: True Label: shake_F, Predicted: rotation_ccw_H 
 Sample 778: True Label: shake_F, Predicted: shake_F 
 Sample 779: True Label: shake_F, Predicted: pinch_F 
 Sample 780: True Label: shake_F, Predicted: pinch_F 
 Sample 781: True Label: shake_F, Predicted: pinch_F 
 Sample 782: True Label: shake_F, Predicted: shake_F 
 Sample 783: True Label: shake_F, Predicted: rotation_ccw_F 
 Sample 784: True Label: shake_F, Predicted: shake_F 
 Sample 785: True Label: shake_F, Predicted: shake_F 
 Sample 786: True Label: shake_F, Predicted: shake_F 
 Sample 787: True Label: shake_F, Predicted: shake_F 
 Sample 788: True Label: shake_F, Predicted: shake_F 
 Sample 789: True Label: shake_F, Predicted: shake_F 
 Sample 790: True Label: shake_F, Predicted: shake_F 
 Sample 791: True Label: shake_F, Predicted: shake_F 
 Sample 792: True Label: shake_F, Predicted: shake_F 
 Sample 793: True Label: shake_F, Predicted: shake_F 
 Sample 794: True Label: shake_F, Predicted: shake_F 
 Sample 795: True Label: shake_F, Predicted: shake_F 
 Sample 796: True Label: shake_F, Predicted: shake_F 
 Sample 797: True Label: shake_F, Predicted: shake_F 
 Sample 798: True Label: shake_F, Predicted: shake_F 
 Sample 799: True Label: shake_F, Predicted: shake_F 
 Sample 800: True Label: shake_F, Predicted: shake_F 
 Sample 801: True Label: shake_F, Predicted: shake_F 
 Sample 802: True Label: shake_F, Predicted: shake_F 
 Sample 803: True Label: shake_F, Predicted: shake_F 
 Sample 804: True Label: shake_F, Predicted: shake_F 
 Sample 805: True Label: shake_H, Predicted: shake_H 
 Sample 806: True Label: shake_H, Predicted: shake_H 
 Sample 807: True Label: shake_H, Predicted: shake_H 
 Sample 808: True Label: shake_H, Predicted: shake_H 
 Sample 809: True Label: shake_H, Predicted: shake_H 
 Sample 810: True Label: shake_H, Predicted: shake_H 
 Sample 811: True Label: shake_H, Predicted: shake_H 
 Sample 812: True Label: shake_H, Predicted: shake_H 
 Sample 813: True Label: shake_H, Predicted: shake_H 
 Sample 814: True Label: shake_H, Predicted: shake_H 
 Sample 815: True Label: shake_H, Predicted: shake_H 
 Sample 816: True Label: shake_H, Predicted: shake_H 
 Sample 817: True Label: shake_H, Predicted: shake_H 
 Sample 818: True Label: shake_H, Predicted: shake_H 
 Sample 819: True Label: shake_H, Predicted: shake_H 
 Sample 820: True Label: shake_H, Predicted: shake_H 
 Sample 821: True Label: shake_H, Predicted: shake_H 
 Sample 822: True Label: shake_H, Predicted: shake_H 
 Sample 823: True Label: shake_H, Predicted: shake_H 
 Sample 824: True Label: shake_H, Predicted: shake_H 
 Sample 825: True Label: shake_H, Predicted: shake_H 
 Sample 826: True Label: shake_H, Predicted: shake_H 
 Sample 827: True Label: shake_H, Predicted: shake_H 
 Sample 828: True Label: shake_H, Predicted: shake_H 
 Sample 829: True Label: shake_H, Predicted: shake_H 
 Sample 830: True Label: shake_H, Predicted: shake_H 
 Sample 831: True Label: shake_H, Predicted: shake_H 
 Sample 832: True Label: shake_H, Predicted: shake_H 
 Sample 833: True Label: shake_H, Predicted: shake_H 
 Sample 834: True Label: shake_H, Predicted: shake_H 
 Sample 835: True Label: shake_H, Predicted: shake_H 
 Sample 836: True Label: shake_H, Predicted: shake_H 
 Sample 837: True Label: shake_H, Predicted: shake_H 
 Sample 838: True Label: shake_H, Predicted: shake_H 
 Sample 839: True Label: shake_H, Predicted: shake_H 
 
Overall Accuracy: 89.52%
